TRANSACTION_AMT,TRANSACTION_DT
60,2015-06-30
649.83,2015-01-16
202.98,2015-02-02
326,2015-04-17
43.07,2015-03-11
264.32,2015-06-04
9.99,2015-03-30
1060.8,2015-02-24
499.3,2015-05-28
372.4,2015-01-23
9.3,2015-06-16
4952.2,2015-06-26
220.75,2015-06-26
27.35,2015-01-10
4.3,2015-06-20
200,2015-05-22
43.44,2015-02-19
184,2015-01-17
93.39,2015-02-25
243.8,2015-01-30
16,2015-03-20
242.42,2015-02-24
1244,2015-01-04
1422.29,2015-04-02
925,2015-03-31
100.8,2015-05-15
704.39,2015-04-29
13.32,2015-01-13
1360.38,2015-02-15
4352.92,2015-02-12
2709.65,2015-04-02
87.2,2015-05-02
430,2015-05-15
31.08,2015-04-21
7.95,2015-04-29
5890.35,2015-06-08
200,2015-06-25
115.61,2015-06-29
10.03,2015-02-17
63.6,2015-03-27
164.6,2015-03-20
155,2015-02-12
160.54,2015-04-08
145.69,2015-02-25
43.95,2015-01-15
53.64,2015-05-26
1650,2015-06-03
228,2015-05-26
50,2015-05-05
250,2015-02-27
1407.78,2015-05-15
3706.91,2015-05-08
1000,2015-01-30
150,2015-06-14
432.3,2015-01-27
5000,2015-06-08
42.86,2015-01-05
313.1,2015-03-06
649,2015-02-04
300,2015-02-02
2211.39,2015-03-31
433.82,2015-06-30
147.78,2015-04-23
10105,2015-03-27
19.95,2015-06-04
335.2,2015-05-21
15000,2015-05-05
229,2015-06-11
260.61,2015-04-21
500,2015-02-07
843.04,2015-04-24
1610.98,2015-05-01
4.25,2015-02-26
1470,2015-04-17
148.96,2015-02-28
175,2015-05-29
51.09,2015-02-18
9.25,2015-05-07
115.63,2015-04-26
2925,2015-03-30
112,2015-02-02
1320.43,2015-06-15
2000,2015-04-17
70.15,2015-06-24
501.2,2015-04-29
43.55,2015-02-10
980,2015-03-09
86.1,2015-06-17
207.96,2015-02-19
101.07,2015-03-13
7.25,2015-04-07
24.61,2015-05-28
2500,2015-01-09
173.07,2015-04-09
250,2015-06-30
237.06,2015-03-16
1.13,2015-05-22
92,2015-01-26
478.1,2015-02-17
123,2015-05-08
1.53,2015-01-23
5438.25,2015-06-19
660.96,2015-02-09
75,2015-02-14
658.7,2015-02-05
311.04,2015-06-08
1030,2015-05-12
97.3,2015-03-10
396.7,2015-05-20
2577.35,2015-03-06
351.2,2015-03-16
110,2015-05-14
3442.94,2015-04-24
3696.91,2015-04-24
1365.54,2015-01-15
124.92,2015-02-27
27.5,2015-06-02
318.57,2015-04-15
300,2015-01-19
500,2015-04-30
1117.34,2015-06-30
2000,2015-01-02
122.93,2015-06-28
150,2015-02-20
4135.33,2015-02-13
414.1,2015-06-09
449.03,2015-02-14
3245.82,2015-06-22
120.97,2015-05-12
5030.46,2015-04-27
99.68,2015-06-30
2423.42,2015-03-10
246.4,2015-03-24
171.14,2015-01-15
217.84,2015-05-04
646.14,2015-05-18
2171.87,2015-02-09
450,2015-04-07
594.2,2015-02-26
89.95,2015-02-03
95.54,2015-04-30
331.1,2015-04-03
12975.11,2015-01-30
3764.28,2015-06-25
17989,2015-06-10
15000,2015-05-06
95.61,2015-03-05
25.01,2015-04-19
1758.73,2015-06-29
3.65,2015-03-24
120,2015-03-28
5.76,2015-04-04
183.91,2015-04-24
58.42,2015-01-08
618,2015-05-13
214.7,2015-06-17
48.9,2015-05-05
21.52,2015-02-11
7500,2015-04-07
1746.8,2015-03-30
59,2015-06-30
164.45,2015-01-15
518.5,2015-03-14
480.02,2015-06-01
4.81,2015-04-19
5.61,2015-02-04
32958,2015-06-18
0.02,2015-05-12
105,2015-01-13
9.95,2015-05-04
1500,2015-06-01
373.7,2015-05-29
100,2015-01-19
95,2015-05-04
4.5,2015-06-18
30,2015-06-03
745.1,2015-06-12
120,2015-04-02
8760.42,2015-03-05
17.41,2015-06-26
50,2015-05-28
4572.72,2015-04-15
400,2015-03-27
3473,2015-06-30
134.52,2015-01-12
1000,2015-01-18
256.05,2015-04-23
25,2015-05-28
172.8,2015-05-29
2351.55,2015-06-03
39.5,2015-03-31
-903.78,2015-06-12
10.36,2015-02-26
32.95,2015-01-05
25.19,2015-05-07
296.88,2015-05-28
46,2015-02-28
703.53,2015-04-20
300,2015-01-19
100,2015-02-05
25.3,2015-03-25
643.48,2015-04-02
503.5,2015-01-15
9911.27,2015-05-01
5.42,2015-05-14
56.36,2015-02-26
264.2,2015-03-18
119.9,2015-01-20
1012.79,2015-01-05
37.65,2015-03-17
4155,2015-05-01
274.43,2015-03-13
283.6,2015-03-09
4250,2015-03-24
150,2015-01-29
9.74,2015-02-05
741.22,2015-06-03
15,2015-04-17
0.09,2015-04-16
475.88,2015-02-12
2700,2015-01-02
20.76,2015-06-16
507.6,2015-02-12
221.91,2015-02-13
629,2015-01-06
989.15,2015-03-03
13.75,2015-02-02
100,2015-02-25
3000,2015-05-20
1082.43,2015-04-30
80.29,2015-03-24
500,2015-05-04
10,2015-04-21
242.04,2015-01-07
8904.68,2015-04-23
31.2,2015-04-06
288.19,2015-06-20
87,2015-06-17
2928.08,2015-04-15
4524,2015-06-11
2000,2015-04-03
4647.96,2015-01-15
1955.34,2015-03-31
367.3,2015-04-02
1.45,2015-01-04
36.33,2015-05-31
1906.36,2015-02-13
50,2015-05-29
2500,2015-02-01
938.2,2015-04-07
100,2015-02-12
463.29,2015-05-19
1809.25,2015-05-04
3956.54,2015-04-28
120,2015-03-21
717.47,2015-04-22
1850.33,2015-05-29
279,2015-01-05
675.5,2015-03-09
400,2015-01-26
14.6,2015-06-11
1517.91,2015-03-31
863.5,2015-06-05
58.25,2015-03-01
456.68,2015-01-15
3178.41,2015-05-29
230,2015-02-13
122.42,2015-05-18
150,2015-04-16
77.22,2015-06-02
8.99,2015-05-01
280,2015-06-22
2264.82,2015-06-30
807,2015-01-29
1166.54,2015-02-27
3000,2015-01-20
86,2015-06-15
199.05,2015-01-29
150,2015-04-25
121.29,2015-02-26
5000,2015-01-02
2468.75,2015-06-12
1737.8,2015-06-15
1600,2015-06-29
35.41,2015-06-02
169.7,2015-05-14
1666.98,2015-04-15
105,2015-03-24
649.58,2015-03-30
4240,2015-04-06
462,2015-05-19
59.95,2015-05-05
7.41,2015-05-21
926.9,2015-06-28
1011.28,2015-05-06
250,2015-02-25
2711.76,2015-06-17
120.28,2015-04-10
17,2015-01-23
710.45,2015-04-14
29.29,2015-04-30
330.77,2015-06-03
313.52,2015-06-29
16.15,2015-06-20
750.83,2015-02-24
124.2,2015-06-08
30.1,2015-03-30
313.1,2015-05-01
1775,2015-03-02
62.5,2015-03-06
45,2015-01-07
1750.58,2015-06-30
1983.8,2015-04-14
540.2,2015-05-27
461.41,2015-06-10
20800,2015-02-13
804.9,2015-06-30
1166.7,2015-06-04
123.92,2015-01-05
44.34,2015-03-23
95.08,2015-05-04
10,2015-05-04
48,2015-06-29
445.4,2015-03-31
1895.95,2015-06-15
15,2015-06-08
48.35,2015-01-05
9.71,2015-04-12
82.06,2015-02-28
1381.63,2015-04-30
3.27,2015-02-15
2246.32,2015-01-31
5,2015-02-26
50,2015-06-17
25,2015-01-09
9.95,2015-05-11
211.2,2015-05-30
143.29,2015-03-13
2586,2015-06-09
2357.5,2015-03-09
125,2015-01-05
473.55,2015-03-04
1038.63,2015-05-13
208.93,2015-02-06
685490,2015-06-09
19501.25,2015-06-30
275,2015-02-23
7909.04,2015-06-29
36,2015-01-15
1314.4,2015-06-25
750,2015-01-22
63.08,2015-05-07
335,2015-06-08
0.27,2015-05-10
28261.86,2015-02-13
9.99,2015-05-07
0.61,2015-03-28
150,2015-05-18
7484,2015-06-18
400,2015-06-05
742.45,2015-05-29
30,2015-05-11
96.81,2015-01-23
1422.13,2015-05-15
128,2015-01-26
150,2015-02-12
642.6,2015-05-05
1000,2015-06-01
70,2015-01-31
57,2015-03-12
300,2015-02-07
1000,2015-03-30
250,2015-06-09
8.05,2015-04-30
163.5,2015-06-28
1670.33,2015-04-30
76.5,2015-04-20
75,2015-04-20
10.35,2015-04-20
3378.72,2015-03-31
352.31,2015-02-24
40.8,2015-02-26
18.51,2015-04-17
41.2,2015-04-27
34,2015-01-21
3165.16,2015-04-30
10.67,2015-02-03
1205,2015-01-09
50.1,2015-04-20
46.89,2015-04-03
10.45,2015-05-12
40,2015-05-22
63.99,2015-02-10
2303.37,2015-01-23
4923.35,2015-01-30
51.24,2015-01-16
489.97,2015-03-16
75,2015-06-16
5000,2015-02-05
798,2015-06-11
1171.05,2015-04-20
17220.75,2015-02-13
110.23,2015-06-01
1171.2,2015-06-08
1842.75,2015-03-31
300,2015-05-19
1000,2015-01-11
1462.23,2015-01-19
11.55,2015-02-23
500,2015-02-05
393,2015-02-27
53.8,2015-06-02
4333.33,2015-02-03
1041.8,2015-04-14
3792,2015-05-29
106.63,2015-01-21
28108.43,2015-02-04
47.6,2015-02-07
578.46,2015-05-22
419.33,2015-06-17
28.13,2015-03-23
28.64,2015-01-15
65.72,2015-03-03
64.89,2015-05-27
199.77,2015-03-24
211.09,2015-05-18
5341,2015-02-26
524.16,2015-04-30
9.74,2015-03-26
327.45,2015-01-09
275,2015-06-08
2050.54,2015-04-29
250,2015-03-01
19.99,2015-04-02
2410.62,2015-05-22
34.48,2015-05-06
500,2015-06-13
24.99,2015-04-20
4577.85,2015-04-30
14050,2015-05-13
332,2015-03-13
541.46,2015-06-09
110,2015-02-17
920,2015-01-17
590.1,2015-02-27
4.14,2015-02-07
168000,2015-01-15
1864.8,2015-05-29
15000,2015-04-01
50,2015-02-11
13.36,2015-06-30
215.82,2015-04-18
175.08,2015-06-22
60,2015-06-30
843.96,2015-02-27
602.4,2015-01-23
200,2015-03-14
7.95,2015-06-02
5.75,2015-04-04
2946.16,2015-01-22
-166.88,2015-03-02
20.59,2015-06-23
2393.09,2015-02-27
39.94,2015-04-15
364.34,2015-01-30
216.83,2015-03-25
295,2015-06-18
3692.28,2015-06-02
9.99,2015-06-26
1116.83,2015-02-05
2869.51,2015-03-11
474.95,2015-02-27
49,2015-04-22
2450.08,2015-03-12
70,2015-04-29
120,2015-04-02
1924.1,2015-06-26
450,2015-03-03
1183.13,2015-06-05
1459.83,2015-05-15
1660.55,2015-02-06
90,2015-05-21
342.2,2015-06-02
5489.7,2015-03-31
750,2015-03-27
54.7,2015-06-15
45.09,2015-05-05
34.95,2015-03-27
3616.42,2015-06-29
12.22,2015-02-17
45.8,2015-04-23
150,2015-04-19
10,2015-06-01
113,2015-04-11
1623.2,2015-01-20
7.07,2015-05-13
35.85,2015-06-17
1246,2015-02-03
25,2015-04-13
49.29,2015-05-04
648.95,2015-03-11
26.29,2015-06-01
20,2015-06-12
32.09,2015-06-26
50,2015-06-30
316,2015-02-23
298.3,2015-06-26
19,2015-02-02
77.6,2015-04-28
544.7,2015-06-30
3000,2015-04-01
5037.43,2015-01-15
300,2015-03-27
673,2015-05-15
19.5,2015-02-25
100,2015-02-04
13.4,2015-06-25
1111.87,2015-05-31
2678.04,2015-04-24
3149.75,2015-06-10
459.81,2015-06-08
150,2015-01-16
42.68,2015-02-16
92,2015-04-12
226.85,2015-06-08
677.3,2015-03-31
1373.58,2015-04-01
47.3,2015-05-20
5,2015-03-31
38.4,2015-01-16
6233.04,2015-01-29
2115.09,2015-03-24
141.6,2015-02-03
1260.96,2015-05-26
719.61,2015-01-14
9478.97,2015-06-15
2648.73,2015-03-22
440.94,2015-02-20
150,2015-02-28
2980.39,2015-06-30
750,2015-01-07
370,2015-04-27
445,2015-05-13
282,2015-04-20
5000,2015-05-22
85.83,2015-06-30
5577.51,2015-04-06
585.91,2015-04-01
150,2015-05-28
5339.6,2015-02-06
12.2,2015-04-29
3289.47,2015-03-25
300,2015-05-08
3444.65,2015-06-23
4.13,2015-04-23
283.23,2015-03-15
324.96,2015-05-13
785,2015-01-28
75.29,2015-04-03
856.7,2015-04-15
13.99,2015-01-12
100,2015-05-15
3709.8,2015-05-29
61013.08,2015-02-11
48.37,2015-02-02
150,2015-04-17
357.88,2015-01-05
122.04,2015-05-22
48.66,2015-03-02
180,2015-04-20
180.6,2015-04-01
130,2015-04-22
68.07,2015-06-15
-447,2015-05-25
128.77,2015-05-17
2400,2015-02-12
1699,2015-04-01
1505.28,2015-06-02
2358.74,2015-06-30
318.75,2015-05-01
375.2,2015-01-06
6.91,2015-05-10
162.3,2015-05-15
200.38,2015-04-24
7.24,2015-02-13
2873.46,2015-05-29
11.53,2015-04-30
34.99,2015-01-29
2700,2015-05-19
111.69,2015-02-26
108.2,2015-03-25
-416.1,2015-06-17
110.23,2015-03-30
122.18,2015-03-02
10,2015-05-26
22.68,2015-03-25
84.95,2015-04-01
1020.84,2015-01-16
7893.18,2015-05-22
409,2015-02-23
833.42,2015-05-07
750,2015-01-22
314.47,2015-02-15
63900.14,2015-06-30
108,2015-06-22
869.05,2015-05-19
29,2015-03-27
2519.2,2015-04-01
1120.35,2015-04-17
39602.88,2015-05-28
210,2015-06-12
4854.84,2015-05-29
49,2015-03-10
138.54,2015-03-29
3000,2015-02-10
75,2015-01-19
122.5,2015-05-14
1921.78,2015-03-31
585,2015-04-16
152.5,2015-04-02
75,2015-03-07
4000,2015-06-12
975.49,2015-01-15
1252.55,2015-04-21
352.59,2015-01-29
250,2015-01-29
177.5,2015-05-26
81.94,2015-03-19
445.5,2015-04-07
5500,2015-02-09
3472.63,2015-02-26
51.37,2015-04-13
195.32,2015-01-08
126.74,2015-04-01
320.67,2015-06-20
28.18,2015-06-17
611.64,2015-04-29
207.4,2015-04-06
78.67,2015-02-27
252.36,2015-02-19
107.21,2015-06-18
1003.14,2015-02-05
526.6,2015-06-03
150.91,2015-05-27
27.95,2015-06-08
246.5,2015-04-01
2000,2015-06-30
1384.83,2015-05-21
762.1,2015-04-28
1200.71,2015-01-30
30,2015-05-04
0.79,2015-04-23
95,2015-04-24
439.58,2015-03-13
245,2015-05-22
140.73,2015-06-30
13.18,2015-02-23
19.34,2015-05-11
27.88,2015-02-24
40,2015-04-16
20,2015-03-10
310.14,2015-03-26
60,2015-05-31
3250,2015-04-01
32.06,2015-04-13
7526.56,2015-02-20
30,2015-05-01
2703.86,2015-06-24
15,2015-02-02
509.25,2015-05-27
2075,2015-06-10
25.5,2015-02-03
1140.4,2015-05-31
11000,2015-01-05
1360.88,2015-03-04
2475.24,2015-04-15
6.41,2015-03-17
800,2015-03-11
2242.32,2015-02-04
30,2015-05-15
553.26,2015-03-11
7851,2015-06-08
1265.98,2015-05-15
62.51,2015-06-05
1204.97,2015-03-31
738.73,2015-05-18
360,2015-05-05
20.04,2015-06-17
12000,2015-06-05
78.99,2015-03-13
66.57,2015-04-02
413.78,2015-06-12
17.08,2015-03-23
114.66,2015-05-13
1556.64,2015-03-31
3.41,2015-03-03
18454.15,2015-05-01
299.5,2015-03-12
14000,2015-06-17
413.16,2015-02-06
7.99,2015-04-30
73.64,2015-02-24
1851.64,2015-06-15
2.75,2015-04-27
175.45,2015-06-10
113.65,2015-05-25
3000,2015-03-05
11949.97,2015-04-03
219.72,2015-03-02
23.8,2015-03-23
300,2015-06-18
114.75,2015-02-25
45,2015-02-02
3.2,2015-03-03
34,2015-04-06
35,2015-06-14
4056.82,2015-02-06
1057.7,2015-04-07
542,2015-06-10
33.04,2015-03-18
26.33,2015-05-28
184.85,2015-06-26
387.38,2015-02-28
382.94,2015-02-16
300,2015-05-29
29.88,2015-06-03
0.19,2015-04-25
407,2015-06-15
12589.96,2015-04-24
14,2015-02-13
515.42,2015-05-05
309,2015-05-01
40,2015-01-05
16189.78,2015-05-06
497,2015-02-23
266.7,2015-01-19
664.4,2015-04-15
4400,2015-05-21
495.49,2015-06-30
1207.8,2015-04-02
1250,2015-02-11
91.26,2015-05-19
1010,2015-03-09
4080.04,2015-01-25
1038,2015-05-18
2,2015-02-24
150.01,2015-05-04
198085.39,2015-03-17
5,2015-06-08
-45,2015-05-11
15,2015-06-12
43.42,2015-06-02
19.95,2015-03-11
162.1,2015-02-04
218.2,2015-05-21
13.73,2015-02-21
591.64,2015-03-18
1044.63,2015-01-15
40.33,2015-05-15
225,2015-02-20
56.61,2015-04-01
125,2015-01-11
77,2015-03-10
217,2015-06-15
250,2015-05-06
10,2015-02-13
375.28,2015-05-15
3016.25,2015-05-05
591.56,2015-05-22
1955.32,2015-02-13
2305,2015-03-02
12.99,2015-05-18
420.2,2015-06-17
4575.07,2015-01-31
89.95,2015-06-19
525.42,2015-06-04
15,2015-05-01
1651.62,2015-03-26
135.53,2015-03-02
2000,2015-04-14
2960.88,2015-02-19
500,2015-04-22
116.07,2015-05-30
1754.12,2015-05-13
358.43,2015-03-26
35210.63,2015-03-31
1048.58,2015-04-01
4850.53,2015-03-23
200,2015-01-25
3735.53,2015-06-05
14,2015-03-31
199,2015-01-06
521.1,2015-06-08
220,2015-04-08
180,2015-01-27
78.58,2015-04-03
1010.46,2015-03-12
43.9,2015-05-21
4285.39,2015-05-29
946.33,2015-01-30
131.38,2015-01-26
16500,2015-04-03
79.3,2015-03-06
20,2015-03-13
250,2015-02-01
3000,2015-04-08
100.12,2015-06-23
90.1,2015-05-01
16.53,2015-02-26
21734.34,2015-06-08
-606.6,2015-04-01
29.3,2015-06-08
1913.05,2015-06-15
242.79,2015-05-17
2000,2015-03-09
1008.02,2015-06-15
131.22,2015-05-01
2563.82,2015-02-25
2070.94,2015-02-10
19.95,2015-05-04
2709.08,2015-06-15
81.25,2015-03-13
27.95,2015-06-15
844.11,2015-04-15
185.25,2015-02-10
5,2015-05-21
237.6,2015-06-22
2414.86,2015-04-30
150,2015-03-21
44.38,2015-06-04
60,2015-05-29
396.42,2015-04-09
250,2015-05-27
1242.04,2015-04-30
1601.64,2015-03-13
90.35,2015-04-18
180.1,2015-04-27
256.45,2015-01-30
3750,2015-04-16
355.1,2015-06-19
344.31,2015-03-04
42.7,2015-04-15
2666.67,2015-05-21
14.78,2015-06-07
150.01,2015-03-23
67.8,2015-02-12
7650.22,2015-06-12
7894,2015-05-14
287.1,2015-04-30
144,2015-03-02
3.69,2015-02-04
150,2015-05-22
361.9,2015-04-29
230.88,2015-03-31
502.2,2015-03-23
1667.91,2015-02-27
12.49,2015-06-24
167.91,2015-05-12
2006.47,2015-03-31
852.27,2015-04-15
40,2015-03-02
250,2015-04-29
264.87,2015-01-02
648,2015-05-27
300,2015-05-27
40,2015-02-05
8053.28,2015-01-30
15,2015-05-01
450,2015-02-20
1122.43,2015-05-08
105.29,2015-01-02
25,2015-02-04
750,2015-06-02
107.33,2015-02-05
550.73,2015-01-09
3312.43,2015-06-25
412.5,2015-01-20
358.5,2015-04-15
1984,2015-06-30
283.79,2015-03-31
25.8,2015-03-16
262.19,2015-02-22
9000,2015-05-11
7300,2015-03-18
227.99,2015-06-08
150,2015-04-25
1789.19,2015-03-13
125,2015-04-12
5555.21,2015-03-30
84,2015-05-14
6,2015-03-01
1265.32,2015-04-21
10.69,2015-01-16
913.46,2015-06-18
150,2015-01-22
682.08,2015-04-17
159.94,2015-04-10
324.1,2015-05-18
20.81,2015-06-17
75,2015-03-30
43.17,2015-02-23
5.07,2015-04-22
750,2015-04-01
392.4,2015-04-27
228.83,2015-01-15
1081,2015-06-04
412.48,2015-04-21
3100,2015-05-29
25,2015-06-24
17.44,2015-04-17
4.64,2015-02-08
66.33,2015-01-05
150,2015-04-28
4000,2015-04-29
2004.96,2015-02-27
128.03,2015-01-26
34.14,2015-04-28
0.01,2015-05-05
46.63,2015-05-29
9.89,2015-01-27
262.38,2015-01-20
29.97,2015-06-02
253.2,2015-04-06
125.9,2015-05-15
1150,2015-03-25
75.21,2015-06-15
2689.42,2015-02-15
5636.65,2015-05-29
13.98,2015-05-14
1706.66,2015-04-30
150,2015-04-13
94.75,2015-01-10
0.66,2015-04-24
59,2015-02-21
40,2015-06-03
13.68,2015-01-06
600,2015-05-15
123,2015-02-09
7.58,2015-03-12
250,2015-01-13
1207,2015-05-17
76.4,2015-03-29
54.95,2015-04-13
578.89,2015-01-06
51,2015-02-02
247,2015-04-22
13.44,2015-05-21
39.95,2015-06-02
333.62,2015-04-13
3000,2015-05-27
1882.03,2015-03-23
75,2015-03-11
24.49,2015-05-07
224.61,2015-01-05
450,2015-01-16
368,2015-06-11
1000,2015-03-14
102.89,2015-01-31
2014,2015-02-18
8.48,2015-06-30
2722.92,2015-04-30
118.3,2015-01-28
58.3,2015-02-27
50,2015-04-20
852.2,2015-04-02
500,2015-03-25
795,2015-04-07
180,2015-01-09
94.7,2015-01-27
2283.93,2015-02-27
977.86,2015-01-15
110,2015-05-07
2818,2015-06-09
55.95,2015-04-07
30,2015-02-25
30,2015-06-30
944.64,2015-02-20
1601.95,2015-01-12
474.2,2015-01-20
817.1,2015-05-15
34,2015-02-06
432.98,2015-01-28
90.81,2015-03-06
185,2015-06-12
1019.21,2015-03-20
235.55,2015-05-25
3.2,2015-03-24
222.15,2015-03-16
600,2015-06-29
2493.6,2015-02-14
1897.82,2015-06-15
1892.9,2015-02-24
548.1,2015-06-27
208.93,2015-05-29
1466.36,2015-02-26
201.16,2015-01-26
75.9,2015-03-17
3696.17,2015-03-06
73.66,2015-06-01
50.12,2015-01-27
14.5,2015-02-16
98,2015-06-15
131.37,2015-06-03
2000,2015-03-17
386,2015-03-09
103.52,2015-05-31
5000,2015-06-19
20000,2015-01-15
212.58,2015-01-18
25,2015-05-31
227.16,2015-06-01
12,2015-05-29
536.3,2015-01-15
400,2015-05-08
2291.67,2015-05-20
44.63,2015-02-27
3812.5,2015-05-27
1266.07,2015-03-27
10091.98,2015-03-18
4.91,2015-06-18
16016.82,2015-01-14
16.65,2015-04-27
50.08,2015-05-29
163.21,2015-05-29
1600,2015-02-08
9188.9,2015-06-02
10000,2015-04-21
66.85,2015-04-16
41.7,2015-04-03
232,2015-04-18
1633.13,2015-04-20
160.38,2015-04-30
2720.49,2015-06-09
10.63,2015-02-17
3747.94,2015-04-30
225,2015-01-17
79.89,2015-05-15
703.69,2015-06-30
0.04,2015-03-04
173.4,2015-05-02
36.59,2015-03-06
16.31,2015-01-27
245.6,2015-04-24
49.41,2015-04-29
74497.5,2015-04-17
43.86,2015-02-09
36.95,2015-05-05
68.35,2015-04-01
3000,2015-03-05
359.95,2015-06-30
45.08,2015-03-19
25,2015-03-12
2192.03,2015-05-15
5000,2015-04-01
191.69,2015-01-14
1250,2015-06-02
13.76,2015-03-31
2000,2015-02-03
97.73,2015-04-05
1300,2015-03-11
1898.36,2015-06-15
48,2015-04-16
65.88,2015-05-19
329.84,2015-03-18
227.53,2015-05-18
1798.37,2015-03-13
197.1,2015-03-23
43.27,2015-04-13
2.95,2015-02-27
176.92,2015-06-03
508.1,2015-03-16
2111.09,2015-03-31
2797.61,2015-04-01
1437.21,2015-06-30
470,2015-05-11
500,2015-06-01
75.2,2015-03-29
14.41,2015-03-23
428.1,2015-06-08
220,2015-04-17
184.17,2015-02-04
151.49,2015-06-26
51.16,2015-01-06
71.05,2015-02-13
1269.76,2015-02-13
58.18,2015-01-23
2.99,2015-05-22
461.72,2015-03-31
1810.95,2015-02-05
3403.91,2015-06-30
1795.81,2015-05-19
195.86,2015-06-04
56.56,2015-05-21
15.36,2015-04-10
14.58,2015-05-15
35,2015-03-24
30,2015-06-01
257.06,2015-06-15
14365.7,2015-06-01
291.06,2015-05-03
14,2015-06-18
1851.17,2015-06-15
2733.34,2015-04-01
1439.04,2015-06-22
18.36,2015-03-23
30.78,2015-06-11
686.23,2015-05-29
25,2015-02-28
1925,2015-05-04
5113.61,2015-05-27
12,2015-05-04
3500,2015-02-10
2100,2015-04-08
149,2015-03-02
98,2015-03-18
46.51,2015-01-15
4680,2015-01-08
24.09,2015-04-30
51,2015-06-02
200.53,2015-05-07
1705.52,2015-06-01
12,2015-04-30
4582.04,2015-06-09
390,2015-03-31
162.17,2015-04-21
73.5,2015-06-15
200,2015-04-20
299,2015-06-17
207.42,2015-06-03
489.37,2015-01-21
51.78,2015-02-27
18.76,2015-06-22
643.68,2015-06-15
97.9,2015-05-31
106.71,2015-01-18
175.63,2015-02-23
2850,2015-02-16
1224.17,2015-05-27
15.1,2015-05-07
419.1,2015-01-14
59.61,2015-03-11
27.95,2015-04-02
10,2015-03-31
11.32,2015-05-07
1491.93,2015-02-27
3303.76,2015-04-19
30,2015-02-18
1549.63,2015-03-06
100.19,2015-05-01
74.1,2015-03-08
50,2015-06-19
329.53,2015-06-12
279.92,2015-05-07
2843.53,2015-05-27
675.77,2015-01-12
296.79,2015-02-08
250,2015-06-30
8.84,2015-01-13
178.4,2015-06-11
124.03,2015-01-12
73.73,2015-05-05
2408.97,2015-03-05
472.42,2015-01-29
24.79,2015-02-04
217.45,2015-04-27
50,2015-06-04
200.19,2015-06-30
94.94,2015-06-02
2212.32,2015-03-03
2363.14,2015-01-15
840.69,2015-05-01
344.64,2015-02-26
33.25,2015-06-12
415,2015-04-29
10835.42,2015-04-08
2000,2015-06-01
2414.8,2015-03-12
235.25,2015-05-22
2931.05,2015-04-30
650,2015-04-15
19.95,2015-02-02
640,2015-01-15
47.56,2015-05-07
1178.25,2015-06-01
32.09,2015-04-30
8000,2015-06-01
3893.34,2015-04-21
1056.41,2015-03-13
3000,2015-04-02
121.92,2015-03-23
520,2015-06-12
80.7,2015-03-09
94.87,2015-06-27
259.7,2015-04-03
2.15,2015-01-04
2700,2015-02-18
100,2015-06-30
500,2015-04-03
90,2015-03-23
272,2015-02-18
728.66,2015-02-23
4000,2015-05-04
3500,2015-02-02
20.55,2015-06-18
65.65,2015-03-26
270.58,2015-06-30
563.76,2015-06-09
110.06,2015-03-10
99,2015-04-02
1178.62,2015-05-29
310.63,2015-01-31
2424.72,2015-06-30
250,2015-03-18
19.62,2015-03-23
150,2015-02-26
500,2015-01-07
1866.88,2015-04-14
230.67,2015-02-04
5.53,2015-06-21
124.93,2015-02-09
200,2015-03-13
1950,2015-05-27
163.18,2015-05-21
35.62,2015-06-14
125,2015-04-14
5643.93,2015-03-25
0.77,2015-03-04
7014,2015-05-21
90,2015-05-19
2355.9,2015-06-30
775.6,2015-03-02
70,2015-03-20
114.35,2015-06-24
834.4,2015-01-18
3725,2015-03-31
1119.89,2015-06-12
1036.4,2015-04-15
300,2015-02-10
23.4,2015-04-13
584.96,2015-02-26
8.67,2015-03-13
1053.32,2015-06-16
19.95,2015-04-20
461.75,2015-06-12
429.95,2015-05-10
980,2015-03-16
74,2015-04-02
897.75,2015-01-27
25000,2015-02-06
100,2015-04-26
2000,2015-03-04
280.49,2015-01-06
22.01,2015-02-17
39.5,2015-03-12
13.26,2015-05-24
750,2015-02-05
256.73,2015-06-02
898.2,2015-03-02
32,2015-06-25
1922.32,2015-05-15
150,2015-03-19
131.85,2015-01-05
306.61,2015-04-21
6.75,2015-04-29
123,2015-03-26
55.54,2015-04-03
250,2015-01-09
300,2015-06-12
150,2015-04-13
3500,2015-05-04
146.27,2015-05-01
516.63,2015-03-18
1158.9,2015-01-15
202.67,2015-01-13
325.05,2015-03-27
170.74,2015-05-19
50,2015-03-03
509.04,2015-05-16
2199.69,2015-02-20
4905.73,2015-02-13
19.9,2015-06-25
1277.75,2015-06-18
402,2015-05-15
232,2015-06-09
60.07,2015-06-24
1330.36,2015-05-29
2230.82,2015-02-13
284.98,2015-05-06
12.66,2015-06-10
8,2015-01-06
1650,2015-04-01
1500,2015-06-03
2978.42,2015-03-23
83.08,2015-02-20
857.14,2015-06-19
500,2015-01-23
248.05,2015-06-04
519.62,2015-02-02
1.19,2015-01-07
98,2015-05-05
99.11,2015-05-29
802.82,2015-03-23
136.25,2015-02-25
656.85,2015-05-12
32.08,2015-01-12
5.93,2015-03-12
420,2015-02-11
2886.25,2015-01-02
2000,2015-03-03
5250,2015-04-23
2009.44,2015-02-27
